transcript	TPM_Skmel5-1-B1R1_S3	TPM_Skmel5-1-B1R2_S2	TPM_Skmel5-10-B1R1_S2	TPM_Skmel5-10-B1R2_S1
ERVLB4_12p13.2c	2117.6084227932747	1218.8019172567938	1857.381087158681	1952.34633902387
MER61_2q32.3b	2105.0886862009497	2333.4216115287454	1996.2248165537048	2955.981787194521
ERVLE_1q44d	2095.817013954936	2493.228554804201	1523.6571560160437	1027.654760398641
ERVLE_4q31.21b	2048.0921985732857	2035.3430384273408	1232.5560687790792	1728.0029868055417
HERVFRD_13q31.1	2023.219197684369	2008.2798791432035	1266.8589880917727	1523.244355833334
HML5_2p13.2	2010.8922523662304	2252.1724533156853	2910.245383342118	2596.7521048790013
HERVIP10F_3p25.1b	2010.4529122934223	1832.5277690587616	1849.174585282568	1913.4923250392208
HML2_10q24.2	2001.6908138002177	1747.6964354327297	467.472073964776	612.2475278421429
ERV316A3_5p14.1e	1951.4395220890733	2203.417120790836	3026.164077065956	4090.319849681453
HERV9_1p31.1	1908.2734250383965	2007.2957628339427	2295.3150130830413	2565.2665634133627
HERVL_13q21.2	1881.7429799838685	1625.904671510196	1942.2556384045324	1878.864359303214
HUERSP3_8q12.3	1870.855648328312	1586.2344925490213	1743.111886203527	2422.612623922634
HERV3_19q13.42b	1859.218385781892	2172.570195119656	1579.359614614087	1171.741683365088
ERVLB4_9q22.33b	1858.0397095863352	2210.9925850601567	2546.308492539219	1838.2180100026496
HERVL_12p13.2a	1818.7691212858915	1737.7896009543874	283.29901296742383	1423.1442936755277
HUERSP3B_6q27	1803.6743156086968	1424.0737072987472	1814.602171738273	2172.000994177238
ERV316A3_18q11.2c	1797.319783122161	2387.5310930035057	1395.605640827315	1541.032178206962
